Trial #,Sigma,Fidelity,Accuracy,tau,alpha
1,0.02,0.5,1,0,0
2,0.02,0.5,1,0,0
3,0.02,0.5,1,0,0
4,0.02,0.5,1,0,0
5,0.02,0.5,1,0,0
6,0.02,0.5,1,0,0
7,0.02,0.5,1,0,0
8,0.02,0.5,1,0,0
9,0.02,0.5,1,0,0
10,0.02,0.5,1,0,0
11,0.02,0.5,1,0,0
12,0.02,0.5,1,0,0
13,0.02,0.5,1,0,0
14,0.02,0.5,1,0,0
15,0.02,0.5,1,0,0
16,0.02,0.5,1,0,0
17,0.02,0.5,1,0,0
18,0.02,0.5,1,0,0
19,0.02,0.5,1,0,0
20,0.02,0.5,1,0,0
21,0.02,0.5,1,0,0
22,0.02,0.5,1,0,0
23,0.02,0.5,1,0,0
24,0.02,0.5,1,0,0
25,0.02,0.5,1,0,0
26,0.02,0.5,1,0,0
27,0.02,0.5,1,0,0
28,0.02,0.5,1,0,0
29,0.02,0.5,1,0,0
30,0.02,0.5,1,0,0
31,0.02,0.5,1,0,0
32,0.02,0.5,1,0,0
33,0.02,0.5,1,0,0
34,0.02,0.5,1,0,0
35,0.02,0.5,1,0,0
36,0.02,0.5,1,0,0
37,0.02,0.5,1,0,0
38,0.02,0.5,1,0,0
39,0.02,0.5,1,0,0
40,0.02,0.5,1,0,0
41,0.02,0.5,1,0,0
42,0.02,0.5,1,0,0
43,0.02,0.5,1,0,0
44,0.02,0.5,1,0,0
45,0.02,0.5,1,0,0
46,0.02,0.5,1,0,0
47,0.02,0.5,1,0,0
48,0.02,0.5,1,0,0
49,0.02,0.5,1,0,0
50,0.02,0.5,1,0,0
1,0.04,0.5,1,0,0
2,0.04,0.5,1,0,0
3,0.04,0.5,1,0,0
4,0.04,0.5,1,0,0
5,0.04,0.5,1,0,0
6,0.04,0.5,1,0,0
7,0.04,0.5,1,0,0
8,0.04,0.5,1,0,0
9,0.04,0.5,1,0,0
10,0.04,0.5,1,0,0
11,0.04,0.5,1,0,0
12,0.04,0.5,1,0,0
13,0.04,0.5,1,0,0
14,0.04,0.5,1,0,0
15,0.04,0.5,1,0,0
16,0.04,0.5,1,0,0
17,0.04,0.5,1,0,0
18,0.04,0.5,1,0,0
19,0.04,0.5,1,0,0
20,0.04,0.5,1,0,0
21,0.04,0.5,1,0,0
22,0.04,0.5,1,0,0
23,0.04,0.5,1,0,0
24,0.04,0.5,1,0,0
25,0.04,0.5,1,0,0
26,0.04,0.5,1,0,0
27,0.04,0.5,1,0,0
28,0.04,0.5,1,0,0
29,0.04,0.5,1,0,0
30,0.04,0.5,1,0,0
31,0.04,0.5,1,0,0
32,0.04,0.5,1,0,0
33,0.04,0.5,1,0,0
34,0.04,0.5,1,0,0
35,0.04,0.5,1,0,0
36,0.04,0.5,1,0,0
37,0.04,0.5,1,0,0
38,0.04,0.5,1,0,0
39,0.04,0.5,1,0,0
40,0.04,0.5,1,0,0
41,0.04,0.5,1,0,0
42,0.04,0.5,1,0,0
43,0.04,0.5,1,0,0
44,0.04,0.5,1,0,0
45,0.04,0.5,1,0,0
46,0.04,0.5,1,0,0
47,0.04,0.5,1,0,0
48,0.04,0.5,1,0,0
49,0.04,0.5,1,0,0
50,0.04,0.5,1,0,0
1,0.06,0.5,1,0,0
2,0.06,0.5,1,0,0
3,0.06,0.5,1,0,0
4,0.06,0.5,1,0,0
5,0.06,0.5,0.9995,0,0
6,0.06,0.5,1,0,0
7,0.06,0.5,1,0,0
8,0.06,0.5,1,0,0
9,0.06,0.5,1,0,0
10,0.06,0.5,1,0,0
11,0.06,0.5,1,0,0
12,0.06,0.5,1,0,0
13,0.06,0.5,1,0,0
14,0.06,0.5,1,0,0
15,0.06,0.5,0.9995,0,0
16,0.06,0.5,1,0,0
17,0.06,0.5,1,0,0
18,0.06,0.5,1,0,0
19,0.06,0.5,1,0,0
20,0.06,0.5,1,0,0
21,0.06,0.5,1,0,0
22,0.06,0.5,1,0,0
23,0.06,0.5,1,0,0
24,0.06,0.5,1,0,0
25,0.06,0.5,1,0,0
26,0.06,0.5,1,0,0
27,0.06,0.5,1,0,0
28,0.06,0.5,1,0,0
29,0.06,0.5,0.9995,0,0
30,0.06,0.5,0.9995,0,0
31,0.06,0.5,1,0,0
32,0.06,0.5,0.9995,0,0
33,0.06,0.5,1,0,0
34,0.06,0.5,1,0,0
35,0.06,0.5,1,0,0
36,0.06,0.5,1,0,0
37,0.06,0.5,1,0,0
38,0.06,0.5,1,0,0
39,0.06,0.5,1,0,0
40,0.06,0.5,1,0,0
41,0.06,0.5,1,0,0
42,0.06,0.5,1,0,0
43,0.06,0.5,1,0,0
44,0.06,0.5,1,0,0
45,0.06,0.5,1,0,0
46,0.06,0.5,1,0,0
47,0.06,0.5,1,0,0
48,0.06,0.5,1,0,0
49,0.06,0.5,1,0,0
50,0.06,0.5,1,0,0
1,0.08,0.5,0.995,0,0
2,0.08,0.5,0.9925,0,0
3,0.08,0.5,0.995,0,0
4,0.08,0.5,0.9945,0,0
5,0.08,0.5,0.999,0,0
6,0.08,0.5,0.998,0,0
7,0.08,0.5,0.998,0,0
8,0.08,0.5,0.999,0,0
9,0.08,0.5,0.997,0,0
10,0.08,0.5,0.9925,0,0
11,0.08,0.5,0.998,0,0
12,0.08,0.5,0.9975,0,0
13,0.08,0.5,0.999,0,0
14,0.08,0.5,0.993,0,0
15,0.08,0.5,0.9935,0,0
16,0.08,0.5,1,0,0
17,0.08,0.5,0.997,0,0
18,0.08,0.5,0.9985,0,0
19,0.08,0.5,0.998,0,0
20,0.08,0.5,0.997,0,0
21,0.08,0.5,0.999,0,0
22,0.08,0.5,0.9975,0,0
23,0.08,0.5,0.999,0,0
24,0.08,0.5,0.9865,0,0
25,0.08,0.5,0.999,0,0
26,0.08,0.5,0.999,0,0
27,0.08,0.5,0.9985,0,0
28,0.08,0.5,0.9965,0,0
29,0.08,0.5,0.996,0,0
30,0.08,0.5,0.9925,0,0
31,0.08,0.5,0.9985,0,0
32,0.08,0.5,0.9975,0,0
33,0.08,0.5,0.998,0,0
34,0.08,0.5,0.991,0,0
35,0.08,0.5,0.9955,0,0
36,0.08,0.5,1,0,0
37,0.08,0.5,0.9985,0,0
38,0.08,0.5,0.998,0,0
39,0.08,0.5,0.9965,0,0
40,0.08,0.5,0.9965,0,0
41,0.08,0.5,0.998,0,0
42,0.08,0.5,0.999,0,0
43,0.08,0.5,0.9985,0,0
44,0.08,0.5,0.9985,0,0
45,0.08,0.5,0.9985,0,0
46,0.08,0.5,0.994,0,0
47,0.08,0.5,0.996,0,0
48,0.08,0.5,0.9995,0,0
49,0.08,0.5,0.998,0,0
50,0.08,0.5,0.996,0,0
1,0.1,0.5,0.9535,0,0
2,0.1,0.5,0.8955,0,0
3,0.1,0.5,0.935,0,0
4,0.1,0.5,0.9085,0,0
5,0.1,0.5,0.9505,0,0
6,0.1,0.5,0.9405,0,0
7,0.1,0.5,0.9465,0,0
8,0.1,0.5,0.969,0,0
9,0.1,0.5,0.931,0,0
10,0.1,0.5,0.897,0,0
11,0.1,0.5,0.9165,0,0
12,0.1,0.5,0.9815,0,0
13,0.1,0.5,0.9155,0,0
14,0.1,0.5,0.942,0,0
15,0.1,0.5,0.889,0,0
16,0.1,0.5,0.977,0,0
17,0.1,0.5,0.939,0,0
18,0.1,0.5,0.9535,0,0
19,0.1,0.5,0.9505,0,0
20,0.1,0.5,0.938,0,0
21,0.1,0.5,0.9295,0,0
22,0.1,0.5,0.967,0,0
23,0.1,0.5,0.926,0,0
24,0.1,0.5,0.8895,0,0
25,0.1,0.5,0.904,0,0
26,0.1,0.5,0.932,0,0
27,0.1,0.5,0.951,0,0
28,0.1,0.5,0.9485,0,0
29,0.1,0.5,0.9105,0,0
30,0.1,0.5,0.939,0,0
31,0.1,0.5,0.95,0,0
32,0.1,0.5,0.9755,0,0
33,0.1,0.5,0.9585,0,0
34,0.1,0.5,0.9205,0,0
35,0.1,0.5,0.936,0,0
36,0.1,0.5,0.9415,0,0
37,0.1,0.5,0.912,0,0
38,0.1,0.5,0.973,0,0
39,0.1,0.5,0.9395,0,0
40,0.1,0.5,0.954,0,0
41,0.1,0.5,0.915,0,0
42,0.1,0.5,0.8885,0,0
43,0.1,0.5,0.9005,0,0
44,0.1,0.5,0.9265,0,0
45,0.1,0.5,0.922,0,0
46,0.1,0.5,0.9315,0,0
47,0.1,0.5,0.9285,0,0
48,0.1,0.5,0.935,0,0
49,0.1,0.5,0.938,0,0
50,0.1,0.5,0.918,0,0
1,0.02,1,1,0,0
2,0.02,1,1,0,0
3,0.02,1,1,0,0
4,0.02,1,1,0,0
5,0.02,1,1,0,0
6,0.02,1,1,0,0
7,0.02,1,1,0,0
8,0.02,1,1,0,0
9,0.02,1,1,0,0
10,0.02,1,1,0,0
11,0.02,1,1,0,0
12,0.02,1,1,0,0
13,0.02,1,1,0,0
14,0.02,1,1,0,0
15,0.02,1,1,0,0
16,0.02,1,1,0,0
17,0.02,1,1,0,0
18,0.02,1,1,0,0
19,0.02,1,1,0,0
20,0.02,1,1,0,0
21,0.02,1,1,0,0
22,0.02,1,1,0,0
23,0.02,1,1,0,0
24,0.02,1,1,0,0
25,0.02,1,1,0,0
26,0.02,1,1,0,0
27,0.02,1,1,0,0
28,0.02,1,1,0,0
29,0.02,1,1,0,0
30,0.02,1,1,0,0
31,0.02,1,1,0,0
32,0.02,1,1,0,0
